teacher_id,school_id,first_name,last_name,department,email,hire_date,badge_id,watchlist_flag,notes
TCH0024,SCH0001,Olivia,Cruz,Math,olivia..cruz@cedargrove.edu,2021-11-24,B1499661,0,Often covers lunch supervision.
TCH0025,SCH0001,Mateo,Nelson,ELA,mateo.nelson@cedargrove.edu,2013-09-05,B3715483,0,New to district.
TCH0026,SCH0001,Ryan,Edwards,Specials,ryan.edwards@cedargrove.edu,2010-09-16,B7626609,0,Often covers lunch supervision.
TCH0027,SCH0001,Wyatt,Clark,Elementary,wyatt.clark@cedargrove.edu,2005-04-16,B4857331,0,
TCH0028,SCH0001,Levi,Robinson,ELA,levi.robinson@cedargrove.edu,2020-08-02,B1145537,0,Long-term substitute listed in HR.
TCH0029,SCH0001,Riley,Collins,Science,riley.collins@cedargrove.edu,2019-08-09,B2742472,0,
TCH0030,SCH0001,Abigail,Lee,Elementary,abigail.lee@cedargrove.edu,2008-12-07,B5424956,0,Long-term substitute listed in HR.
TCH0031,SCH0001,Adam,Johnson,Science,adam.johnson@cedargrove.edu,2013-07-28,B5778424,0,Long-term substitute listed in HR.
TCH0032,SCH0001,Ella,Stewart,Elementary,ella.stewart@cedargrove.edu,2023-09-01,B6048123,0,New to district.
TCH0033,SCH0001,Isaac,Torres,Elementary,isaac.torres@cedargrove.edu,,B5936767,0,Prefers hallway duty by Gym.
TCH0034,SCH0001,Noah,Lee,Counseling,noah.lee@cedargrove.edu,2019-11-04,B6716718,0,
TCH0035,SCH0001,Jude,Jones,Admin,jude.jones@cedargrove.edu,2022-11-13,B0661786,0,
TCH0036,SCH0001,David,Parker,Specials,david.parker@cedargrove.edu,2006-09-21,B8196874,0,Often covers lunch supervision.
TCH0037,SCH0001,Bella,Morales,Elementary,bella.morales@cedargrove.edu,2022-05-11,B0824630,0,
TCH0038,SCH0001,Jordan,Lewis,Elementary,jordan.lewis@cedargrove.edu,2012-06-09,B2090747,0,Email bounced last month.
TCH0039,SCH0001,Aaron,Brown,Social Studies,,2011-05-22,B5473722,0,Prefers hallway duty by Gym.
TCH0040,SCH0001,Layla,Taylor,Math,layla.taylor@cedargrove.edu,2009-04-07,B5759823,0,
TCH0041,SCH0001,Victoria,Miller,Elementary,victoria.miller@cedargrove.edu,2021-05-23,B7102439,0,Email bounced last month.
TCH0042,SCH0001,Elijah,Martinez,ELA,elijah.martinez@cedargrove.edu,2006-10-21,B8902545,0,Long-term substitute listed in HR.
TCH0043,SCH0001,Aaron,Edwards,Elementary,aaron.edwards@cedargrove.edu,2022-07-10,B9076202,0,
TCH0044,SCH0001,Aiden,Turner,PE,aiden.turner@cedargrove.edu,2025-05-23,B8022758,0,
TCH0045,SCH0001,Quinn,Robinson,Elementary,quinn.robinson@cedargrove.edu,2012-03-03,B5894434,0,Email bounced last month.
TCH0046,SCH0001,Eli,Lopez,Social Studies,eli.lopez@cedargrove.edu,,B2685078,0,
